_meta.locale,en,ar,de-DE,es-419,es-ES,fr-FR,hi-IN,id,it-IT,ja-JP,km,ko-KR,pl-PL,pt-BR,vi-VN,zh-CN,ru-RU,uk-UA,tr
_meta.language_name,English,Arabic,German (Germany),Spanish (Latin America),Spanish (Spain),French (France),Hindi (India),Indonesian,Italian (Italy),Japanese (Japan),Khmer,Korean (South Korea),Polish (Poland),Portuguese (Brazil),Vietnamese (Vietnam),Chinese (Simplified),Russian,Ukrainian,Turkish
_meta.native_name,English,العربية,Deutsch (Deutschland),Español (Latinoamérica),Español (España),Français (France),हिन्दी (भारत),Bahasa Indonesia,Italiano (Italia),日本語 (日本),ភាសាខ្មែរ,한국어 (대한민국),Polski (Polska),Português (Brasil),Tiếng Việt (Việt Nam),中文 (简体),Русский,Українська,Türkçe
_formula,Formula,صيغة,Formel,Fórmula,Fórmula,Formule,FORMULA,Rumus,Formula,式,រូបមន្ត,공식,Formuła,Fórmula,Công thức,公式,Формула,Формула,Formül
button.add_current_location,Add current location,إضافة الموقع الحالي,Aktuellen Standort hinzufügen,Agregar ubicación actual,Agregar ubicación actual,Ajouter l'emplacement actuel,वर्तमान स्थान जोड़ें,Tambahkan lokasi saat ini,Aggiungi posizione attuale,現在地を追加,បន្ថែមទីតាំងបច្ចុប្បន្ន,현재 위치 추가,Dodaj bieżącą lokalizację,Adicionar localização atual,Thêm vị trí hiện tại,添加当前位置,Добавить текущее местоположение,Додати поточне місцезнаходження,Mevcut konumu ekle
button.apply,Apply,تطبيق,Anwenden,Aplicar,Aplicar,Appliquer,लागू करें,Terapkan,Applica,適用,អនុវត្ត,적용,Zastosuj,Aplicar,Áp dụng,应用,Применить,Застосувати,Uygula
button.archive,Archive,أرشيف,Archiv,Archivo,Archivo,Archive,पुरालेख,Arsip,Archivio,アーカイブ,លាក់បឋម,보관,Archiwum,Arquivo,Lưu trữ,归档,В Архив,Архів,Arşiv
button.bookmark,Bookmark,إضافة إلى المفضلة,Lesezeichen,Marcador,Marcador,Signet,बुकमार्क,Tandai,Segnalibro,ブックマーク,ចំណាំ,서표,Zakładka w książce,Adicionar aos favoritos,Đánh dấu trang,书签,Добавить в закладки,Закладка,Yer imi
button.cancel,Cancel,يلغي,Stornieren,Cancelar,Cancelar,Annuler,रद्द करना,Membatalkan,Cancellare,キャンセル,បោះបង់,취소,Anulować,Cancelar,Hủy bỏ,取消,Отмена,Скасувати,İptal et
button.clear,Clear,واضح,Klar,Claro,Claro,Clair,स्पष्ट,Jernih,Chiaro,初期化,ជម្រះ,초기화,Jasne,Claro,Thông thoáng,清除,Очистить,Очистити,Temizle
button.confirm,Confirm,تأكيد,Bestätigen,Confirmar,Confirmar,Confirmer,पुष्टि करें,Konfirmasi,Conferma,確認,បញ្ជាក់,확인,Potwierdź,Confirmar,Xác nhận,确认,Подтвердить,Підтвердити,Onayla
button.connect,Connect,يتصل,Verbinden,Conectar,Conectar,Connecter,जोड़ना,Menghubungkan,Collegare,接続する,ភ្ជាប់,연결하다,Łączyć,Conectar,Kết nối,连接,Соединить,З'єднати,Bağla
button.continue_editing,Continue Editing,متابعة التحرير,Bearbeiten Sie weiter,Continuar editando,Continuar editando,Continuer la modification,संपादन जारी रखें,Lanjutkan Mengedit,Continua a modificare,編集を続ける,បន្តការកែសម្រួល,편집 계속하기,Kontynuuj edycję,Continuar editando,Tiếp tục chỉnh sửa,继续编辑,Продолжить редактирование,Продовжити редагування,Düzenlemeye Devam Et
button.copy_link,Copy link,نسخ الوصلة,Link kopieren,Copiar enlace,Copiar enlace,Copier le lien,लिंक की प्रतिलिपि करें,Salin tautan,Copia il link,リンクをコピー,ចម្លងតំណ,링크 복사,Kopiuj link,Copiar link,Sao chép liên kết,复制链接,Скопировать ссылку,Копіювати посилання,Bağlantıyı kopyala
button.cursor_left,Move Left,تحرك يسارًا,Nach links bewegen,Muévase a la izquierda,Muévase a la izquierda,Déplacez-vous vers la gauche,बाएं खिसको,Geser ke kiri,Spostarsi a sinistra,左へ移動,ផ្លាស់ទីទៅឆ្វេង,왼쪽으로 이동,Przesuń w lewo,Mova-se para a esquerda.,Di chuyển sang trái,向左移动,Двигайтесь влево,Рухатися ліворуч,Sola Hareket Et
button.cursor_right,Move Right,تحرك يميناً,Nach rechts bewegen,Muévase a la derecha,Muévase a la derecha,Déplacez-vous à droite,सही कदम,Geser ke Kanan,Spostati a destra,右に進む,ផ្លាស់ទីទៅស្តាំ,오른쪽으로 이동하세요,Przesuń w prawo,Mova-se para a direita.,Di chuyển sang phải,向右移动,Двигайся вправо,Рухатися праворуч,Sağa Hareket Et
button.delete,Delete,يمسح,Löschen,Borrar,Borrar,Supprimer,मिटाना,Menghapus,Eliminare,削除,លុប,삭제,Usuwać,Excluir,Xóa bỏ,删除,Удалить,Видалити,Sil
button.delete_from_google_drive,Delete from Google Drive,حذف من جوجل درايف,Von Google Drive löschen,Eliminar de Google Drive,Eliminar de Google Drive,Supprimer de Google Drive,Google Drive से हटाएं,Hapus dari Google Drive,Elimina da Google Drive,Googleドライブから削除,លុបចេញពី Google Drive,Google 드라이브에서 삭제,Usuń z Dysku Google,Excluir do Google Drive,Xóa khỏi Google Drive,从 Google 云端硬盘中删除,Удалить с Диска,Видалити з Google Drive,Google Drive'dan sil
